Specification Number,Title,Responsible Group
00.01U,Work programme for the standardization of Universal Mobile Telecommunications System (UMTS),SMG5
00.02U,Coordination guideline for SMG on UMTS with respect to ITU and European research programmes,SMG5
01.00,Working Procedures for SMG and PT SMG,SP
01.01,Technical Specifications and Technical Reports for a GERAN-based 3GPP system,SP
01.01U,Universal Mobile Telecommunications System (UMTS); Objectives and overview,SP
01.02,General Description of a GSM Public Land Mobile Network (PLMN),S1
01.03U,Universal Mobile Telecommunications System (UMTS); System requirements,SMG5
01.04,Abbreviations and acronyms,R6
01.05,General Modelling Method,SMG1
01.05U,System design methodology for the UMTS,SMG5
01.31,Fraud Information Gathering System (FIGS); Service requirements; Stage 0,S3
01.33,Lawful Interception requirements for GSM,S3
01.48,ISDN-based DECT/GSM interworking; Feasibility study,S1
01.50,Radio Local Loop (RLL) using GSM,SMG1
01.51,Dual mode of operation and roaming,SMG1
01.56,GSM Cordless Telephony System (CTS) (Phase 1); CTS Authentication and Key Generation Algorithms Requirements,S1
01.60,GPRS requirements,S1
01.61,General Packet Radio Service (GPRS); GPRS ciphering algorithm requirements,S3
02.01,Principles of telecommunication services supported by a GSM Public Land Mobile Network(PLMN),S1
02.02,Bearer Services (BS) Supported by a GSM Public Land Mobile Network (PLMN),S1
02.03,Teleservices Supported by a GSM Public Land Mobile Network (PLMN),S1
02.04,General on Supplementary Services,S1
02.06,Types of Mobile Stations (MS),S1
02.06dcs,Types of Mobile Stations (MS) - DCS 1800,S1
02.07,Mobile Station (MS) Features,S1
02.09,Security aspects,S3
02.11,Service accessibility,S1
02.11dcs,Service accessibility (DCS 1800),S1
02.16,International Mobile Station Equipment Identities (IMEI),S1
02.17,Subscriber Identity Module (SIM); Functional characteristics,C6
02.19,Subscriber Identity Module Application Programming Interface (SIM API); Stage 1,C6
02.20,Collection charges,S1
02.21,Transferred account procedure and billing information,S2
02.22,Stage 1 for personalisation of GSM ME,S1
02.24,Description of Charge Advice Information (CAI),S1
02.30,Man-machine Interface (MMI) of the Mobile Station (MS),S1
02.31,Fraud Information Gathering System (FIGS); Service description; Stage 1,S3
02.32,Immediate Service Termination (IST); Service description; Stage 1,S3
02.33,Lawful Interception (LI); Stage 1,S3
02.34,High Speed Circuit Switched Data (HSCSD); Stage 1,S1
02.38,SIM application toolkit (SAT); Stage 1,S1
02.40,Procedures for call progress Indications,S1
02.41,Operator Determined Barring (ODB),S1
02.42,"Network Identity and Timezone (NITZ); Service Description, Stage 1",S1
02.43,Support of Localised Service Area (SoLSA); Service description; Stage 1,S1
02.48,Security mechanisms for the SIM Application Toolkit; Stage 1,C6
02.53,Tandem Free Operation (TFO); Service description; Stage 1,S4
02.56,"GSM Cordless Telephony System (CTS), Phase 1; Service description; Stage 1",S1
02.57,Mobile Station Application Execution Environment (MExE) Service description Stage 1,S1
02.60,General Packet Radio Service Stage 1 Description,S1
02.63,Packet Data on Signalling channels Service (PDS); Stage 1,S1
02.66,Support of Mobile Number Portability (MNP); Service description; Stage 1,S1
02.67,Enhanced Multi-Level Precedence and Pre-emption Service (eMLPP); Stage 1,S1
02.68,Voice Group Call Service (VGCS); Stage 1,S1
